"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"11",0,0,0,0,0,0,0,0,0,0,6,6,6,1,0,1,1,5,3,7,5,3,6,5,7,4,6,9,14,12,9,14,12,25,25,38,36,46,43,46,71,56,58,52,53,45,43,31,27,37,27,23,18,10,13,7,8,6,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,2,5,10,6,7,0,1,0,2,4,9,7,10,8,11,8,10,11,25,14,17,24,19,14,15,28,33,39,29,32,39,39,46,44,44,43,43,41,45,39,38,30,24,18,19,16,9,5,5,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,5,14,12,5,1,0,1,7,6,8,19,21,14,14,11,9,17,24,23,25,24,21,28,35,33,36,32,42,32,38,34,40,39,40,36,31,23,20,31,34,20,18,17,19,4,6,9,5,4,6,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,4,7,26,46,39,14,0,2,1,1,7,14,9,22,18,12,14,15,29,23,24,33,24,25,25,37,42,22,31,34,45,34,39,39,25,29,28,25,22,24,10,12,8,12,7,14,4,2,5,3,3,1,2,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,2,3,28,30,20,10,4,0,3,5,14,39,25,36,25,37,16,12,10,28,27,30,23,29,25,20,28,40,42,37,33,37,33,42,25,31,16,25,21,13,10,8,10,9,11,5,10,3,2,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,1,4,11,24,18,11,3,0,1,5,11,20,25,32,20,30,21,30,29,26,39,31,44,43,30,29,25,29,29,28,29,32,24,34,29,32,25,19,26,24,21,15,9,10,4,4,4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,1,3,21,20,13,5,1,2,4,2,15,12,19,15,12,15,12,15,27,30,29,39,37,43,54,47,52,45,48,29,33,27,43,25,32,22,22,27,17,9,19,8,9,7,5,4,6,7,1,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,1,3,9,13,15,8,2,2,0,0,6,17,16,17,13,13,16,16,16,23,28,22,25,32,37,45,34,50,57,37,52,49,38,46,42,24,33,20,22,17,15,11,11,12,7,7,5,5,2,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,2,1,10,9,8,2,2,0,2,5,10,14,18,22,14,13,8,12,20,17,28,27,22,27,33,28,35,41,44,48,33,32,45,38,42,38,35,42,26,24,25,19,21,9,10,9,7,7,5,2,3,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,1,2,6,9,14,5,1,1,2,1,3,10,19,11,13,12,2,7,17,23,36,25,36,23,39,27,33,32,42,33,52,47,36,39,39,42,30,31,25,34,21,24,22,16,14,10,10,5,7,5,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
